state,year,month,new_cases,new_deaths,year-month,case_id
FSM,2020,Aug,0,0,2020-08,452
FSM,2020,Dec,0,0,2020-12,453
FSM,2020,Feb,0,0,2020-02,454
FSM,2020,Jan,0,0,2020-01,455
FSM,2020,Jul,0,0,2020-07,456
FSM,2020,Jun,0,0,2020-06,457
FSM,2020,Mar,0,0,2020-03,458
FSM,2020,May,0,0,2020-05,459
FSM,2020,Nov,0,0,2020-11,460
FSM,2020,Oct,0,0,2020-10,461
FSM,2020,Sep,0,0,2020-09,462
FSM,2021,Apr,0,0,2021-04,463
FSM,2021,Aug,0,0,2021-08,464
FSM,2021,Dec,0,0,2021-12,465
FSM,2021,Feb,0,0,2021-02,466
FSM,2021,Jan,1,0,2021-01,467
FSM,2021,Jul,6,0,2021-07,468
FSM,2021,Jun,0,0,2021-06,469
FSM,2021,Mar,0,0,2021-03,470
FSM,2021,May,0,0,2021-05,471
FSM,2021,Nov,0,0,2021-11,472
FSM,2021,Oct,0,0,2021-10,473
FSM,2021,Sep,0,0,2021-09,474
FSM,2022,Apr,7,0,2022-04,475
FSM,2022,Aug,1341,15,2022-08,476
FSM,2022,Dec,34,0,2022-12,477
FSM,2022,Feb,0,0,2022-02,478
FSM,2022,Jan,0,0,2022-01,479
FSM,2022,Jul,6253,11,2022-07,480
FSM,2022,Jun,8,0,2022-06,481
FSM,2022,Mar,0,0,2022-03,482
FSM,2022,May,16,0,2022-05,483
FSM,2022,Nov,3,3,2022-11,484
FSM,2022,Oct,3175,9,2022-10,485
FSM,2022,Sep,11225,20,2022-09,486
FSM,2023,Apr,375,0,2023-04,487
FSM,2023,Feb,1272,3,2023-02,488
FSM,2023,Jan,607,0,2023-01,489
FSM,2023,Mar,1757,3,2023-03,490
FSM,2023,May,373,0,2023-05,491
GA,2020,Apr,26096,1184,2020-04,492
GA,2020,Aug,72884,1806,2020-08,493
GA,2020,Dec,231702,1600,2020-12,494
GA,2020,Feb,2,0,2020-02,495
GA,2020,Jan,0,0,2020-01,496
GA,2020,Jul,117473,1158,2020-07,497
GA,2020,Jun,35354,712,2020-06,498
GA,2020,Mar,4637,140,2020-03,499
GA,2020,May,18153,791,2020-05,500
GA,2020,Nov,86429,1027,2020-11,501
GA,2020,Oct,77678,1522,2020-10,502
GA,2020,Sep,43434,1225,2020-09,503
GA,2021,Apr,46224,1185,2021-04,504
GA,2021,Aug,213655,1136,2021-08,505
GA,2021,Dec,262836,955,2021-12,506
GA,2021,Feb,92139,3029,2021-02,507
GA,2021,Jan,208515,3422,2021-01,508
GA,2021,Jul,65059,325,2021-07,509
GA,2021,Jun,10159,550,2021-06,510
GA,2021,Mar,45055,1435,2021-03,511
GA,2021,May,18636,622,2021-05,512
GA,2021,Nov,27501,1255,2021-11,513
GA,2021,Oct,44925,2491,2021-10,514
GA,2021,Sep,180396,3950,2021-09,515
GA,2022,Apr,20117,742,2022-04,516
GA,2022,Aug,92030,582,2022-08,517
GA,2022,Dec,55472,450,2022-12,518
GA,2022,Feb,81395,2434,2022-02,519
GA,2022,Jan,457358,1642,2022-01,520
GA,2022,Jul,111023,485,2022-07,521
GA,2022,Jun,96498,448,2022-06,522
GA,2022,Mar,33573,1614,2022-03,523
GA,2022,May,49674,273,2022-05,524
GA,2022,Nov,18821,370,2022-11,525
GA,2022,Oct,15042,323,2022-10,526
GA,2022,Sep,39046,632,2022-09,527
GA,2023,Apr,7631,114,2023-04,528
GA,2023,Feb,22444,373,2023-02,529
GA,2023,Jan,36849,530,2023-01,530
GA,2023,Mar,13396,234,2023-03,531
GA,2023,May,1618,16,2023-05,532
GU,2020,Apr,72,2,2020-04,533
GU,2020,Aug,1097,8,2020-08,534
GU,2020,Dec,458,11,2020-12,535
GU,2020,Feb,0,0,2020-02,536
GU,2020,Jan,0,0,2020-01,537
GU,2020,Jul,130,0,2020-07,538
